part,feature,supplier,color,shortDesc,longDesc,startDate,endDate,qty
305728,hubRear,Hubtec International Limited,BG-Sand(EL101),,,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",BG-Supernova(TK714-M),"FRM GCM, MARLIN, 2023, L, AL","FRM GCM, MARLIN, 2023, L, AL",2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,BK-Black Hole(EL026),"FRAME, TREK MARLIN, 2023, GCM, 6061,","FRAME, TREK MARLIN, 2023, GCM, 6061,",2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",BK-Black Licorice(EL022),"FRM GCM, MARLIN, 2023, ML, AL","FRM GCM, MARLIN, 2023, ML, AL",2025-04-01 00:00 GMT,,1
601132,,"A&J (VIETNAM) CO.,LTD",BK-Dark Prismatic(TK016-P),"FRM APR, ROSCO, 2022, XS, 6061","FRM APR, ROSCO, 2022, XS, 6061",,,0
601132,,"A&J (VIETNAM) CO.,LTD",BK-Shark Grey(EL025),FKSUS SUN SF19 XCE28 29 100,FKSUS SUN SF19 XCE28 29 100,,,0
305728,hubRear,Hubtec International Limited,RD-Sedona Red(TK434-S),RIM GLM LNC30 29D 28H CBK/BK,RIM GLM LNC30 29D 28H CBK/BK,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",RD-Spicy(EL438),HDPT GWH ADJEXP OD22.5 BK,HDPT GWH ADJEXP OD22.5 BK,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,SK-test color(8889999),"FRM XDS, PWRFLY, 2025, SM, AL","FRM XDS, PWRFLY, 2025, SM, AL",2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",SL-Chrome(1215),Testing,Testing,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,SL-Silver(1038),FRMMN GNT AL TOP FUEL 2025 S,FRMMN GNT AL TOP FUEL 2025 S,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",SL-irredescent yellow pearl(TK-SM0342214),AKIT OUT MY19ONE+ BUNGEE FRONT,AKIT OUT MY19ONE+ BUNGEE FRONT,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,WT-Era White(TK101-S),PTFM QCT CHKMTE SLR S BK-SK,PTFM QCT CHKMTE SLR S BK-SK,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",WT-Stardust(EL111),PTFM QCT CHKMTE SLR M BK-SK,PTFM QCT CHKMTE SLR M BK-SK,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,PTFM QCT CHKMTE SLR L BK-SK,PTFM QCT CHKMTE SLR L BK-SK,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,PTFM QCT CHKMTE SLR XL BK-SK,PTFM QCT CHKMTE SLR XL BK-SK,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,FRME QCT GRVL RACE SLR 25 XS,FRME QCT GRVL RACE SLR 25 XS,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,FRME QCT GRVL RACE SLR 25 S,FRME QCT GRVL RACE SLR 25 S,2025-04-01 00:00 GMT,,1
305728,hubRear,Hubtec International Limited,,FRME QCT GRVL RACE SLR 25 M,FRME QCT GRVL RACE SLR 25 M,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,FRME QCT GRVL RACE SLR 25 M/L,FRME QCT GRVL RACE SLR 25 M/L,2025-04-01 00:00 GMT,,1
301743,hubFront,"A&J (VIETNAM) CO.,LTD",,FRME QCT GRVL RACE SLR 25 L,FRME QCT GRVL RACE SLR 25 L,2025-04-01 00:00 GMT,,0
305728,hubRear,Hubtec International Limited,,FRME QCT GRVL RACE SLR 25 XL,FRME QCT GRVL RACE SLR 25 XL,2025-04-01 00:00 GMT,,1
